scheme,domainLength,digitsInDomain,specialInDomain,dotsInDomain,numberDomainSegments,lengthSegmentsRatioDomain,pathLength,digitsInPath,specialInPath,numberQuersSegments,lengthQuerySegRatio,schemeInQuery,longestCharRatio,longestDigitRatio,phishWord,ip,phish
2,20,0,2,2,3,0.3333333333333333,12,0,3,0,0.0,0,0.3,0.0,1,0,1
2,15,4,2,2,3,0.3333333333333333,30,6,7,0,0.0,0,0.1320754716981132,0.0754716981132075,1,0,1
2,27,0,4,3,5,0.2,51,0,6,1,1.0,1,0.1217948717948717,0.0256410256410256,1,0,1
2,11,0,1,1,2,0.5,33,2,5,0,0.0,0,0.173076923076923,0.0384615384615384,2,0,1
2,29,0,3,3,4,0.25,45,3,7,0,0.0,0,0.2195121951219512,0.0365853658536585,2,0,1
2,12,0,1,1,2,0.5,199,39,71,0,0.0,0,0.0365296803652968,0.0091324200913242,1,0,1
1,8,0,1,1,2,0.5,14,2,4,0,0.0,0,0.1724137931034483,0.0689655172413793,0,0,1
2,13,0,1,1,2,0.5,131,0,21,0,0.0,0,0.0657894736842105,0.0,0,0,1
1,15,0,1,1,2,0.5,13,2,3,1,1.0,1,0.2619047619047619,0.0476190476190476,1,0,1
1,24,0,2,2,3,0.3333333333333333,20,5,2,0,0.0,0,0.2745098039215686,0.0392156862745098,1,0,1
1,17,0,1,1,2,0.5,24,0,3,1,1.0,1,0.1940298507462686,0.044776119402985,3,0,1
2,10,0,2,2,3,0.3333333333333333,10,0,2,1,1.0,1,0.1645569620253164,0.050632911392405,2,0,1
1,17,0,2,2,3,0.3333333333333333,416,145,150,0,0.0,0,0.0204545454545454,0.0045454545454545,0,0,1
1,7,2,1,1,2,0.5,41,2,9,0,0.0,0,0.1272727272727272,0.0363636363636363,2,0,1
2,29,0,2,2,3,0.3333333333333333,6,0,2,4,0.25,1,0.0921658986175115,0.0046082949308755,4,0,1
1,13,3,1,1,2,0.5,29,0,8,0,0.0,0,0.1020408163265306,0.0612244897959183,0,0,1
2,19,0,2,2,3,0.3333333333333333,25,3,4,0,0.0,0,0.2307692307692307,0.0576923076923076,0,0,1
1,14,0,1,1,2,0.5,20,0,3,1,1.0,1,0.1666666666666666,0.074074074074074,2,0,1
2,14,4,1,1,2,0.5,1,0,1,1,1.0,1,0.2068965517241379,0.1379310344827586,1,0,1
2,14,0,1,1,2,0.5,82,2,13,0,0.0,0,0.1442307692307692,0.0096153846153846,5,0,1
2,13,0,1,1,2,0.5,24,2,6,0,0.0,0,0.2222222222222222,0.0222222222222222,0,0,1
1,20,0,2,2,3,0.3333333333333333,19,0,4,0,0.0,0,0.2608695652173913,0.0,0,0,1
2,21,0,3,3,4,0.25,45,0,7,0,0.0,0,0.1486486486486486,0.0,0,0,1
1,19,0,2,2,3,0.3333333333333333,56,4,7,1,1.0,1,0.0785714285714285,0.0285714285714285,4,0,1
1,20,0,1,1,2,0.5,24,3,5,0,0.0,0,0.3333333333333333,0.0588235294117647,2,0,1
1,22,0,2,2,3,0.3333333333333333,14,0,2,1,1.0,1,0.1764705882352941,0.0823529411764705,3,0,1
2,23,0,2,1,3,0.3333333333333333,73,3,11,0,0.0,0,0.1538461538461538,0.0192307692307692,0,0,1
