scheme,domainLength,digitsInDomain,specialInDomain,dotsInDomain,numberDomainSegments,lengthSegmentsRatioDomain,pathLength,digitsInPath,specialInPath,numberQuersSegments,lengthQuerySegRatio,schemeInQuery,longestCharRatio,longestDigitRatio,phishWord,ip,phish
1,16,0,2,2,3,0.3333333333333333,16,4,3,0,0.0,0,0.2051282051282051,0.1025641025641025,1,0,1
1,17,0,3,2,4,0.25,38,4,7,0,0.0,0,0.0967741935483871,0.064516129032258,1,0,1
2,20,0,3,3,4,0.25,20,3,3,0,0.0,0,0.2083333333333333,0.0625,0,0,1
1,13,1,2,2,3,0.3333333333333333,17,8,2,0,0.0,0,0.1891891891891892,0.2162162162162162,1,0,1
1,10,0,1,1,2,0.5,50,5,6,0,0.0,0,0.3134328358208955,0.0746268656716417,0,0,1
2,18,3,1,1,2,0.5,20,0,4,0,0.0,0,0.2391304347826087,0.0652173913043478,0,0,1
2,12,0,1,1,2,0.5,38,8,5,0,0.0,0,0.1896551724137931,0.1379310344827586,1,0,1
2,16,0,3,3,4,0.25,60,2,9,0,0.0,0,0.1309523809523809,0.0238095238095238,2,0,1
2,29,0,2,2,3,0.3333333333333333,62,10,8,2,0.5,1,0.1130434782608695,0.017391304347826,0,0,1
2,13,0,2,2,3,0.3333333333333333,10,0,1,11,0.0909090909090909,1,0.0611353711790393,0.0087336244541484,1,0,1
1,28,4,3,2,4,0.25,54,16,10,0,0.0,0,0.1235955056179775,0.0449438202247191,1,0,1
1,23,0,3,3,4,0.25,13,1,3,27,0.037037037037037,1,0.0206489675516224,0.0029498525073746,7,0,1
2,14,0,2,2,3,0.3333333333333333,49,3,10,0,0.0,0,0.1830985915492957,0.028169014084507,2,0,1
1,18,0,2,2,3,0.3333333333333333,1,0,1,1,1.0,1,0.2222222222222222,0.0888888888888888,0,0,1
2,11,0,1,1,2,0.5,63,0,11,0,0.0,0,0.1219512195121951,0.0,3,0,1
2,20,0,2,2,3,0.3333333333333333,26,0,4,0,0.0,0,0.2222222222222222,0.0,1,0,1
1,34,0,2,2,3,0.3333333333333333,23,0,4,0,0.0,0,0.40625,0.0,0,0,1
1,20,0,2,2,3,0.3333333333333333,33,6,5,0,0.0,0,0.2,0.05,1,0,1
2,13,0,2,2,3,0.3333333333333333,70,5,12,0,0.0,0,0.1318681318681318,0.0439560439560439,0,0,1
2,22,0,2,2,3,0.3333333333333333,42,1,6,0,0.0,0,0.2083333333333333,0.0138888888888888,2,0,1
2,14,0,2,2,3,0.3333333333333333,20,6,3,0,0.0,0,0.1666666666666666,0.1428571428571428,1,0,1
2,17,0,1,1,2,0.5,12,0,3,0,0.0,0,0.3513513513513513,0.0,1,0,1
1,19,0,1,1,2,0.5,37,6,10,0,0.0,0,0.238095238095238,0.0634920634920634,1,0,1
2,20,0,2,2,3,0.3333333333333333,14,0,2,1,1.0,1,0.0176211453744493,0.0073421439060205,3,0,1
2,20,0,2,2,3,0.3333333333333333,104,27,13,1,1.0,1,0.0833333333333333,0.0416666666666666,2,0,1
1,17,4,1,1,2,0.5,14,4,2,0,0.0,0,0.2368421052631578,0.1052631578947368,1,0,1
1,11,4,2,2,3,0.3333333333333333,56,17,4,0,0.0,0,0.0945945945945946,0.054054054054054,0,0,1
1,14,0,2,2,3,0.3333333333333333,35,5,5,0,0.0,0,0.1607142857142857,0.0892857142857142,2,0,1
2,17,2,2,2,3,0.3333333333333333,10,7,3,0,0.0,0,0.2,0.1428571428571428,0,0,1
2,20,0,2,2,3,0.3333333333333333,111,0,15,0,0.0,0,0.1007194244604316,0.0,1,0,1
1,29,8,2,2,3,0.3333333333333333,45,0,8,1,1.0,1,0.1111111111111111,0.0666666666666666,3,0,1
2,19,0,2,2,3,0.3333333333333333,46,6,8,0,0.0,0,0.1506849315068493,0.0547945205479452,2,0,1
1,19,0,2,2,3,0.3333333333333333,42,11,6,0,0.0,0,0.2058823529411764,0.0588235294117647,0,0,1
2,13,0,2,2,3,0.3333333333333333,27,7,4,0,0.0,0,0.25,0.1458333333333333,1,0,1
1,15,0,1,1,2,0.5,14,4,2,0,0.0,0,0.3333333333333333,0.1111111111111111,1,0,1
1,13,0,2,2,3,0.3333333333333333,21,0,3,0,0.0,0,0.2439024390243902,0.0,1,0,1
2,30,0,2,2,3,0.3333333333333333,41,0,8,1,1.0,1,0.2365591397849462,0.032258064516129,0,0,1
2,31,0,2,2,3,0.3333333333333333,70,0,12,0,0.0,0,0.2201834862385321,0.0,1,0,1
1,21,0,1,1,2,0.5,13,0,1,0,0.0,0,0.3414634146341463,0.0,2,0,1
1,12,0,2,2,3,0.3333333333333333,55,9,7,0,0.0,0,0.1351351351351351,0.054054054054054,3,0,1
2,14,0,1,1,2,0.5,127,3,20,0,0.0,0,0.0805369127516778,0.0134228187919463,2,0,1
2,17,0,2,2,3,0.3333333333333333,15,0,2,1,1.0,1,0.1525423728813559,0.0,0,0,1
2,24,0,2,2,3,0.3333333333333333,61,2,9,0,0.0,0,0.1720430107526881,0.021505376344086,1,0,1
1,20,0,2,2,3,0.3333333333333333,37,6,8,0,0.0,0,0.1875,0.0625,0,0,1
1,11,7,1,1,2,0.5,25,7,4,0,0.0,0,0.1627906976744186,0.1627906976744186,0,0,1
1,13,0,2,2,3,0.3333333333333333,48,4,5,0,0.0,0,0.2941176470588235,0.0588235294117647,0,0,1
2,9,0,1,1,2,0.5,19,2,4,0,0.0,0,0.1944444444444444,0.0555555555555555,1,0,1
2,14,0,1,1,2,0.5,22,0,4,0,0.0,0,0.2272727272727272,0.0,0,0,1
2,14,0,1,1,2,0.5,52,2,8,0,0.0,0,0.1621621621621621,0.027027027027027,1,0,1
2,25,0,2,2,3,0.3333333333333333,9,0,3,1,1.0,1,0.2372881355932203,0.0338983050847457,1,0,1
1,22,0,2,2,3,0.3333333333333333,28,8,4,0,0.0,0,0.1929824561403508,0.1403508771929824,3,0,1
2,20,1,2,1,3,0.3333333333333333,43,0,8,0,0.0,0,0.1267605633802817,0.0140845070422535,1,0,1
2,13,0,2,1,3,0.3333333333333333,10,0,1,0,0.0,0,0.2903225806451613,0.0,0,0,1
1,21,0,3,2,4,0.25,27,7,5,0,0.0,0,0.109090909090909,0.1272727272727272,1,0,1
1,10,0,1,1,2,0.5,55,2,6,0,0.0,0,0.1666666666666666,0.0277777777777777,0,0,1
1,14,0,2,2,3,0.3333333333333333,10,0,2,4,0.25,1,0.0578512396694214,0.0330578512396694,1,0,1
1,15,2,2,2,3,0.3333333333333333,37,15,10,0,0.0,0,0.0847457627118644,0.0677966101694915,0,0,1
1,28,0,4,2,5,0.2,28,3,3,0,0.0,0,0.3492063492063492,0.0476190476190476,1,0,1
2,19,0,3,3,4,0.25,57,20,21,0,0.0,0,0.1071428571428571,0.0238095238095238,0,0,1
1,18,0,1,1,2,0.5,11,0,2,1,1.0,1,0.2592592592592592,0.0555555555555555,1,0,1
1,17,0,2,2,3,0.3333333333333333,36,2,6,0,0.0,0,0.1333333333333333,0.0333333333333333,0,0,1
1,16,0,1,1,2,0.5,12,8,4,0,0.0,0,0.3428571428571428,0.1142857142857142,1,0,1
1,20,0,2,2,3,0.3333333333333333,18,4,3,0,0.0,0,0.2666666666666666,0.0888888888888888,0,0,1
1,20,0,3,2,4,0.25,25,2,5,0,0.0,0,0.1538461538461538,0.0384615384615384,3,0,1
1,24,0,2,2,3,0.3333333333333333,23,0,6,0,0.0,0,0.2962962962962963,0.0,1,0,1
1,18,0,1,1,2,0.5,49,1,9,0,0.0,0,0.1891891891891892,0.0135135135135135,3,0,1
2,24,0,3,3,4,0.25,23,5,4,1,1.0,1,0.1538461538461538,0.0769230769230769,0,0,1
1,14,7,2,2,3,0.3333333333333333,24,1,5,0,0.0,0,0.1333333333333333,0.1555555555555555,0,0,1
2,30,0,3,3,4,0.25,83,18,11,0,0.0,0,0.140495867768595,0.0495867768595041,5,0,1
1,14,0,2,2,3,0.3333333333333333,24,0,3,1,1.0,1,0.2407407407407407,0.037037037037037,0,0,1
2,19,0,2,1,3,0.3333333333333333,36,1,6,0,0.0,0,0.238095238095238,0.0158730158730158,0,0,1
1,15,1,2,2,3,0.3333333333333333,16,0,3,1,1.0,1,0.0666666666666666,0.0666666666666666,1,0,1
1,34,0,2,2,3,0.3333333333333333,14,0,2,1,1.0,1,0.3768115942028985,0.0434782608695652,3,0,1
1,19,0,2,2,3,0.3333333333333333,39,12,7,0,0.0,0,0.1692307692307692,0.0615384615384615,1,0,1
2,17,2,2,2,3,0.3333333333333333,1,0,1,1,1.0,1,0.0952380952380952,0.0793650793650793,1,0,1
2,19,0,2,2,3,0.3333333333333333,84,0,14,1,1.0,1,0.0851063829787234,0.0283687943262411,0,0,1
1,22,0,2,2,3,0.3333333333333333,18,0,3,0,0.0,0,0.2978723404255319,0.0,0,0,1
1,19,0,1,1,2,0.5,13,0,3,0,0.0,0,0.3846153846153846,0.0,1,0,1
1,23,0,2,2,3,0.3333333333333333,16,5,3,0,0.0,0,0.3260869565217391,0.108695652173913,1,0,1
2,16,0,1,1,2,0.5,21,10,3,0,0.0,0,0.2666666666666666,0.2222222222222222,0,0,1
